ID,SalePrice
1461,106733.52970744342
1462,163257.94084299536
1463,176332.63444915903
1464,197071.31275733796
1465,200440.38238077634
1466,180539.60017746917
1467,190580.06794937226
1468,170464.5028616865
1469,208517.13801105958
1470,109519.65387958994
1471,216169.84460696264
1472,132888.20671005713
1473,116090.80683065715
1474,164024.4892535639
1475,130196.20743628385
1476,312463.4954667937
1477,249756.32138825115
1478,298111.08954194613
1479,270774.8717545839
1480,405761.40565237764
1481,299957.8417113863
1482,227452.0297347811
1483,176800.43483519557
1484,181640.05886320633
1485,199617.22594396508
1486,208463.57901931298
1487,285818.6075834771
1488,255738.18256139685
1489,186795.8802689617
1490,211297.6010130596
1491,206317.34062016307
1492,89108.56708806533
1493,212925.82215463812
1494,296598.29206162423
1495,290817.7124005148
1496,230053.5576181097
1497,187881.81618533286
1498,173660.20759157048
1499,176866.6805683337
1500,165507.55817206643
1501,207769.00659848395
1502,162767.5832180497
1503,266488.80378927104
1504,249587.4494494135
1505,229957.2382107863
1506,198930.46094221735
1507,247984.54982222294
1508,198527.48305010184
1509,162561.06085424236
1510,148256.1815223901
1511,145927.6124215527
1512,169134.07528528408
1513,162205.76605470778
1514,184765.46352319946
1515,219515.65661864227
1516,168254.3971898817
1517,179701.88248477477
1518,146035.25989744122
1519,245748.38466908238
1520,128009.16778287172
1521,126264.75283545649
1522,199621.49617591768
1523,85443.57051173583
1524,98249.89063817941
1525,103690.391723458
1526,110287.55232131461
1527,91445.97087970292
1528,157728.6120404977
1529,127859.88356522452
1530,209315.39779327586
1531,144089.5632170097
1532,92615.7411391806
1533,140520.17944539653
1534,132679.97459615488
1535,158103.39173347308
1536,106305.63074560574
1537,44787.58056401921
1538,185604.55632665145
1539,219147.70082628264
1540,134447.70206536635
1541,155714.91274870816
1542,142477.5305088372
1543,203746.2394580303
1544,61650.88888033408
1545,117309.88334891568
1546,141680.08472585143
1547,134006.33666736927
1548,132142.46295619546
1549,118417.32591738252
1550,131319.73411187623
1551,133165.7219247243
1552,128664.74628068093
1553,146517.0572604073
1554,124559.09512740467
1555,165873.00103730062
1556,89713.60394451725
1557,116040.43363448288
1558,102585.89285328168
1559,88889.0602619204
1560,143965.67798620503
1561,143413.01751188224
1562,120808.43219622111
1563,113598.26775926001
1564,174776.62281564143
1565,153274.35190664302
1566,241241.82205744484
1567,67154.72862788451
1568,232221.74534504558
1569,110561.61863067195
1570,145875.27057376038
1571,106411.3273728561
1572,143611.33341343165
1573,246253.00615678396
1574,127837.37957411536
1575,231120.23352447056
1576,238413.01856007226
1577,190607.37652899537
1578,146990.52121870458
1579,144927.61187972
1580,207258.62707607163
1581,138230.61499949923
1582,120345.32206018138
1583,309621.29234131204
1584,232049.11809669112
1585,162639.93561409757
1586,44351.17980266476
1587,91014.1454684767
1588,141010.3771295008
1589,86874.0865119418
1590,147803.64735497703
1591,62500.39990317913
1592,131808.97418700717
1593,125753.0119626513
1594,126537.80703259143
1595,120006.45460108713
1596,233387.60715571177
1597,192305.36894849452
1598,205180.69598835954
1599,206679.41877633968
1600,200578.30236474238
1601,9516.160329726583
1602,120746.34483541179
1603,56873.05715678181
1604,261891.2740056466
1605,261114.01094101707
1606,178732.03083483383
1607,200951.71519331165
1608,224776.01686856497
1609,187797.1462243695
1610,146770.426466532
1611,148460.32008826497
1612,160691.52181280177
1613,168882.2302226457
1614,125916.1879218059
1615,69738.24045727657
1616,62241.644937363104
1617,78742.2579159907
1618,112487.1105083402
1619,136912.1947896788
1620,188114.710329888
1621,138648.64871552732
1622,135932.64181462495
1623,269952.1258700893
1624,214737.98869813493
1625,118906.31825241967
1626,201938.7368595996
1627,196928.5592716861
1628,283875.76925568975
1629,198247.89287434128
1630,317314.85495493887
1631,226331.17927890678
1632,242447.64245214808
1633,191023.5564898629
1634,191795.70267794258
1635,182729.5094498256
1636,163644.96972380916
1637,180228.8868886691
1638,223354.08907265443
1639,199863.64433283624
1640,263035.66559524054
1641,202830.51284465368
1642,225811.58884031817
1643,232665.20842645722
1644,238873.14071972197
1645,194720.44262850817
1646,173268.12607542265
1647,182265.93862399657
1648,124952.86693743595
1649,124410.77696161837
1650,109622.38088634504
1651,109605.76489559999
1652,133753.30458388838
1653,130173.08805975669
1654,164606.48319504692
1655,166075.54034917452
1656,159253.39825114378
1657,165894.84626350127
1658,162038.66250952255
1659,143185.21159453824
1660,152429.97317670452
1661,382747.6500293856
1662,328935.46687353554
1663,334205.8415104409
1664,419891.5979445089
1665,295109.0808190085
1666,304175.56665227236
1667,319535.86520786316
1668,310666.07068702957
1669,288572.18361508026
1670,315930.2980259992
1671,267178.59563112084
1672,380652.6493564017
1673,280898.8483592805
1674,264248.40613071795
1675,201211.70597144307
1676,199214.8693761856
